System,IC
12606301_CrO2_0,-564.291908
12606301_HfO2_0,-640.332118
12606301_MoO2_0,-598.165841
12606301_TiO2_0,-580.577270
12606301_WO2_0,-638.437269
12606301_ZrO2_0,-613.610852
134600226_CrO2_0,-559.197062
134600226_HfO2_0,-634.800435
134600226_MoO2_0,-592.972452
134600226_TiO2_0,-574.267851
134600226_WO2_0,-633.190046
134600226_ZrO2_0,-605.925055
137161100_CrO2_0,-549.844254
137161100_HfO2_0,-627.859511
137161100_MoO2_0,-583.603155
137161100_TiO2_0,-565.812775
137161100_WO2_0,-624.009814
137161100_ZrO2_0,-596.239680
137194105_CrO2_0,-559.226825
137194105_HfO2_0,-635.696818
137194105_MoO2_0,-593.358927
137194105_TiO2_0,-568.658296
137194105_WO2_0,-633.743628
137194105_ZrO2_0,-605.896143
13837715_CrO2_0,-531.235898
13837715_HfO2_0,-606.394563
13837715_MoO2_0,-565.499750
13837715_TiO2_0,-547.616982
13837715_WO2_0,-605.907861
13837715_ZrO2_0,-577.030651
141071144_CrO2_0,-518.424194
141071144_HfO2_0,-593.330982
141071144_MoO2_0,-552.540726
141071144_TiO2_0,-531.160821
141071144_WO2_0,-592.994472
141071144_ZrO2_0,-565.077009
154148619_CrO2_0,-544.623338
154148619_HfO2_0,-621.666028
154148619_MoO2_0,-578.855983
154148619_TiO2_0,-553.765011
154148619_WO2_0,-619.272430
154148619_ZrO2_0,-579.498481
15745868_CrO2_0,-538.564644
15745868_HfO2_0,-614.662677
15745868_MoO2_0,-572.571298
15745868_TiO2_0,-552.838961
15745868_WO2_0,-612.985368
15745868_ZrO2_0,-584.503545
20197826_CrO2_0,-522.012696
20197826_HfO2_0,-597.972534
20197826_MoO2_0,-555.699593
20197826_TiO2_0,-530.997574
20197826_WO2_0,-596.055696
20197826_ZrO2_0,-568.799699
20405740_CrO2_0,-535.486527
20405740_HfO2_0,-609.723872
20405740_MoO2_0,-569.399545
20405740_TiO2_0,-551.230517
20405740_WO2_0,-609.727061
20405740_ZrO2_0,-581.527132
45080076_CrO2_0,-559.486999
45080076_HfO2_0,-636.078040
45080076_MoO2_0,-593.390836
45080076_TiO2_0,-572.219477
45080076_WO2_0,-633.804097
45080076_ZrO2_0,-604.669050
45088201_CrO2_0,-544.099058
45088201_HfO2_0,-620.707661
45088201_MoO2_0,-577.553290
45088201_TiO2_0,-559.863508
45088201_WO2_0,-617.710196
45088201_ZrO2_0,-590.318734
52933224_CrO2_0,-543.768882
52933224_HfO2_0,-617.096951
52933224_MoO2_0,-577.863385
52933224_TiO2_0,-557.577868
52933224_WO2_0,-618.266946
52933224_ZrO2_0,-590.568422
58064051_CrO2_0,-536.438397
58064051_HfO2_0,-610.314691
58064051_MoO2_0,-568.473462
58064051_TiO2_0,-549.993216
58064051_WO2_0,-608.727648
58064051_ZrO2_0,-579.687656
68970753_CrO2_0,-553.285934
68970753_HfO2_0,-628.814126
68970753_MoO2_0,-587.113007
68970753_TiO2_0,-569.315621
68970753_WO2_0,-627.469240
68970753_ZrO2_0,-599.843479
69903064_CrO2_0,-522.496613
69903064_HfO2_0,-598.466120
69903064_MoO2_0,-556.470261
69903064_TiO2_0,-537.761166
69903064_WO2_0,-596.881857
69903064_ZrO2_0,-568.710588
83382722_CrO2_0,-545.073654
83382722_HfO2_0,-620.616693
83382722_MoO2_0,-578.904960
83382722_TiO2_0,-560.584625
83382722_WO2_0,-619.264627
83382722_ZrO2_0,-591.303283
87639233_CrO2_0,-552.504427
87639233_HfO2_0,-628.653906
87639233_MoO2_0,-586.501925
87639233_TiO2_0,-567.665648
87639233_WO2_0,-626.909693
87639233_ZrO2_0,-599.272986
88957274_CrO2_0,-567.819348
88957274_HfO2_0,-641.283227
88957274_MoO2_0,-599.603420
88957274_TiO2_0,-583.745445
88957274_WO2_0,-639.460647
88957274_ZrO2_0,-615.649859
91174071_CrO2_0,-542.545832
91174071_HfO2_0,-619.083598
91174071_MoO2_0,-576.622713
91174071_TiO2_0,-557.026859
91174071_WO2_0,-616.992658
91174071_ZrO2_0,-589.678372
