Material,a,b,c,SG
struc_Bilayer_CrO2,7.868000,7.868000,24.873000,164.000000
struc_Bilayer_CrS2,9.010000,9.010000,27.244000,164.000000
struc_Bilayer_CrSe2,9.480000,9.480000,27.836000,164.000000
struc_Bilayer_CrTe2,10.221000,10.221000,28.702000,164.000000
struc_Bilayer_HfO2,9.307000,9.307000,24.506000,164.000000
struc_Bilayer_HfS2,10.595000,10.595000,27.360000,164.000000
struc_Bilayer_HfSe2,11.034000,11.034000,27.514000,164.000000
struc_Bilayer_HfTe2,10.407000,10.407000,29.796000,164.000000
struc_Bilayer_MoO2,8.485000,8.485000,25.010000,164.000000
struc_Bilayer_MoS2,9.463000,9.463000,27.427000,164.000000
struc_Bilayer_MoSe2,9.855000,9.855000,28.094000,164.000000
struc_Bilayer_MoTe2,10.480000,10.480000,28.999000,164.000000
struc_Bilayer_TiO2,8.637000,8.637000,24.590000,164.000000
struc_Bilayer_TiS2,10.055000,10.055000,26.468000,164.000000
struc_Bilayer_TiSe2,10.526000,10.526000,27.176000,164.000000
struc_Bilayer_TiTe2,10.374000,10.374000,29.167000,164.000000
struc_Bilayer_WO2,8.497000,8.497000,25.022000,164.000000
struc_Bilayer_WS2,9.487000,9.487000,27.460000,164.000000
struc_Bilayer_WSe2,9.875000,9.875000,28.154000,164.000000
struc_Bilayer_WTe2,10.525000,10.525000,29.028000,164.000000
struc_Bilayer_ZrO2,9.413000,9.413000,24.356000,164.000000
struc_Bilayer_ZrS2,10.702000,10.702000,26.814000,164.000000
struc_Bilayer_ZrSe2,11.119000,11.119000,27.480000,164.000000
struc_Bilayer_ZrTe2,10.485000,10.485000,29.502000,164.000000
