CID,SMILES
13,C1=CC(=C(C=C1Cl)Cl)Cl
66,C1=CC(=C(C=C1Cl)O)Cl
101,C1=CC(=CC(=C1)O)C=O
240,C1=CC=C(C=C1)C=O
241,C1=CC=CC=C1
790,C1=NC2=C(N1)C(=O)N=CN2
795,C1=CN=CN1
798,C1=CC=C2C(=C1)C=CN2
931,C1=CC=C2C=CC=CC2=C1
996,C1=CC=C(C=C1)O
1043,C1=CN=C2C(=N1)C=NC=N2
1048,C1=CNN=C1
1049,C1=CC=NC=C1
1057,C1=CC(=C(C(=C1)O)O)O
1174,C1=CNC(=O)NC1=O
1188,C1=NC2=C(N1)C(=O)NC(=O)N2
1483,C1=C(C=C(C(=C1Br)O)Br)Br
1731,C1=CC(=C(C=C1O)O)Cl
2733,C1=CC2=C(C=C1Cl)NC(=O)O2
3385,C1=C(C(=O)NC(=O)N1)F
4650,C1=CC(=O)C=CC1=O
5781,C1(=O)C(=O)NC(=O)NC1=O
5798,C1=CC=C2C(=C1)NC=N2
5802,C1=C(C(=O)NC(=O)N1)Br
6043,C1=CC=C2C(=C1)NC(=O)O2
6258,C1=CC2=C(C=C1Cl)SNC2=O
6275,C1=NC(=O)NC(=O)N1
6809,C1=CC=C2C(=C1)C(=O)NC2=O
6811,C1=CC=C2C(=C1)C(=O)OC2=O
6998,C1=CC=C(C(=C1)C=O)O
7001,C1=CC=C2C(=C1)C=CC=C2Br
7024,C1=C(C=C(C(=C1C=O)O)Br)Br
7045,C1=CC=C2C(=C1)N=CC=N2
7047,C1=CC=C2C(=C1)C=CC=N2
7054,C1=CC=C2C(=C1)C(=O)C(=O)N2
7220,C1=CC2=NNN=C2C=C1
7221,C1=CC=C2C(=C1)C=CS2
7222,C1=CC=C2C(=C1)N=CS2
7245,C1=CC=C(C(=C1)O)Cl
7270,C1=C(C(=CC(=C1Cl)Cl)Cl)Cl
7271,C1=C(C(=CC(=C1Cl)Cl)Cl)O
7299,C1=CSC(=C1)Cl
7362,C1=COC(=C1)C=O
7364,C1=CSC(=C1)C=O
7556,C1=C(C(=O)C(=CC1=NCl)Cl)Cl
7726,C1=CC(=CC=C1C=O)Cl
7806,C1=CC(=CC=C1Cl)Br
7923,C1=CC(=O)OC1=O
7950,C1=C(C=C(C=C1Cl)Cl)Cl
7954,C1(=NC(=NC(=N1)Cl)Cl)Cl
7956,C1(=O)NC(=O)NC(=O)N1
7961,C1=CC=C(C=C1)Br
7964,C1=CC=C(C=C1)Cl
7973,C1=CC=NC(=C1)Br
8029,C1=COC=C1
8030,C1=CSC=C1
8394,C1=CC=C2C(=C1)C=NNC2=O
8405,C1=CC=C2C=NC=CC2=C1
8449,C1=CC(=C(C=C1Cl)Cl)O
8871,C1=CC(=O)NC=C1
9208,C1=CC=C2C(=C1)C=CN=N2
9210,C1=CC=C2C(=C1)C=NC=N2
9219,C1=CNC2=C1C=CN=C2
9220,C1=CNC2=C1C=NC=C2
9221,C1=CC=C2C(=C1)C=NN2
9222,C1=CC2=C(NC=C2)N=C1
9223,C1=CC=C2C(=C1)C=CO2
9224,C1=CN=CC2=C1C=CS2
9226,C1=CC2=C(C=CN2)N=C1
9227,C1=CN=CC2=C1N=CN2
9228,C1=CC=C2C(=C1)N=CO2
9230,C1=CC2=CC=CN2C=C1
9254,C1=CON=C1
9255,C1=COC=N1
9256,C1=CSC=N1
9257,C1=NC=NN1
9259,C1=CC=NN=C1
9260,C1=CN=CN=C1
9261,C1=CN=CC=N1
9474,C1=C(C(=CC(=C1F)F)F)F
9696,C1=C(C(=C(C(=C1F)F)F)F)F
9706,C1=CC=C(C(=C1)F)F
9741,C1=CC(=CC(=C1)F)F
9745,C1=C(C=C(C=C1F)F)F
9746,C1=CC=NC(=C1)F
9993,C1=CC(=CC=C1F)Br
10008,C1=CC=C(C=C1)F
10371,C1=CC(=CN=C1)C=O
10629,C1=CC=C2C(=C1)C(=CS2)O
10892,C1=CC(=CC=C1F)F
10935,C1=CC(=O)NC1=O
11334,C1=CC(=C(C(=C1)Cl)Cl)O
11372,C1=CC=C2C=C(C=CC2=C1)Br
11414,C1=CC=C(C(=C1)Br)Br
11477,C1=CC(=CC(=C1)Cl)C=O
11842,C1=CC(=C(C(=C1)Br)Br)Br
11855,C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl
11985,C1=CC=C2C(=C1)NC(=O)N2
11986,C1=CC=C2C(=C1)N=C(O2)Cl
12002,C1=CC(=C(C=C1Br)Br)Br
12011,C1=C(C(=O)C=C(C1=O)Cl)Cl
12274,C1=CC(=NC(=C1)Br)Br
12279,C1=C(C=C(C=C1Br)Br)Br
12286,C1=CC(=CN=C1)Br
12287,C1=CC(=CN=C1)Cl
12288,C1=CN=CC=C1Cl
12290,C1=CNC=CC1=O
12463,C1=CC(=C(C(=C1Cl)Cl)Cl)Cl
12481,C1=CC(=C(C=C1Cl)C=O)O
12505,C1=CC(=O)C=CC1=NCl
12664,C1(=NC(=NC(=N1)F)F)F
12754,C1=CC=C(C(=C1)Cl)Br
12771,C1=C(C(=O)C(=CC1=O)Cl)Cl
13383,C1=CSC=C1Br
13385,C1=COC(=O)O1
13619,C1=C(C=C(C(=C1O)Cl)Cl)Cl
13625,C1=CC=C2C(=C1)NC(=O)S2
13851,C1=CSC(=C1)Br
13854,C1=CNC(=C1)C=O
14268,C1=CN=CC=C1Br
14273,C1=CC=NC(=C1)C=O
14279,C1(=C(C(=O)NC1=O)Br)Br
14503,C1(=C(SSC1=O)Cl)Cl
14513,C1(=C(C(=O)NC1=O)Cl)Cl
15147,C1=CC(=C(C(=C1)F)F)F
16054,C1=CC2=C(C=CN2)C=C1O
16076,C1=C(C(=O)C(=C(N1)Cl)Cl)Cl
16253,C1(=C(N=C(N1)Br)Br)Br
16375,C1=C(C=NN1)Br
16496,C1=CC(=C(C=C1Cl)O)O
16584,C1(=C(C(=NC(=C1Cl)Cl)Cl)Cl)Cl
16726,C1(=O)NC(=O)N(C(=O)N1Cl)Cl
16910,C1=C(C=C(C(=C1F)F)F)F
17022,C1=CC(=C(C=C1C=O)Cl)O
17153,C1=C(C=NC=C1Cl)Cl
17520,C1=CC=C2C(=C1)C(=O)NS2
17922,C1(=O)NC(=O)N(C(=O)N1)Cl
18452,C1=C(C(=CS1)Br)Br
19217,C1=CC(=C2C=CSC2=C1)O
19859,C1=CC(=C(C=C1Br)Cl)O
19877,C1=CC(=C(C(=C1O)O)Cl)Cl
19928,C1=CC(=C(C(=C1)Cl)O)O
20617,C1=C(C=C(C(=C1Cl)O)Br)Cl
20621,C1=C(C=C(C(=C1Cl)O)Br)Br
20695,C1=CN=CNC1=O
21394,C1=C(C=C(C(=C1Br)O)Br)Cl
21954,C1=CC(=O)NNC1=O
22208,C1=CNC(=O)N1
22216,C1=NNC(=C1Br)Br
23016,C1=CC(=NC(=C1Cl)Cl)Cl
24357,C1(=C(N=C(N1)Cl)Cl)Cl
24955,C1=CN=C(N1)C=O
27524,C1=C(C=NN1)Cl
27582,C1=CC(=C(C(=C1O)Cl)Cl)Cl
27685,C1=CC(=NC=C1Cl)Cl
28115,C1=CNC(=O)C(=C1)O
28398,C1=CC2=C(C=C1Cl)N=CO2
29858,C1=CC2=C(C=C1Cl)OC(=O)N2
31137,C1=CC(=C(C(=C1Br)Br)Br)Br
32928,C1=CC(=C(C(=C1O)Br)Br)Br
32930,C1=C(C=C(C(=C1O)Br)Br)Br
32931,C1=C(C(=CC(=C1Br)Br)Br)O
33515,C1=CN=C(C=C1Cl)Cl
34177,C1=CC(=C(C=C1Br)O)Br
34264,C1=CC(=C(C(=C1)Br)Br)O
40452,C1=C(C(=O)C1=O)O
42066,C1=CC(=C(C(=C1)Br)Cl)Cl
44667,C1=CC2=C(C=C1F)SC(=O)N2
46371,C1=CC=C2C(=C1)C=C(S2)Cl
61259,C1=CC=C(C(=C1)F)Br
61273,C1(=C(C(=NC(=C1Cl)F)F)Cl)F
64962,C1=NC=NC2=NNN=C21
66171,C=CN1C=CN=C1
66660,C1=C(C=C(C(=C1C=O)O)Cl)Cl
66760,C1=CC2=NNN=C2C=C1Cl
66772,C1=C(C(=O)OC1=O)Cl
66948,C=C1C=CC(=O)O1
67126,C1(=O)C(=O)NC(=O)N1
67299,C1=C(C(=CC(=C1O)Cl)Cl)O
67488,C1=CC2=C(C=CN=C2)N=C1
67491,C1=CC=C2C(=C1)N=CN=N2
67498,C1=CC2=CON=C2C=C1
67499,C1=C2C=NNC2=NC=N1
67500,C1=CN=CC2=C1SC=C2
67501,C1=CC2=NON=C2C=C1
67504,C1=CC2=C(N=C1)N=CN2
67505,C1=CC=C2C(=C1)N=NS2
67507,C1=CC2=CC=NN2C=C1
67515,C1=CSN=C1
67516,C1=NNN=C1
67517,C1=NON=C1
67518,C1=CSN=N1
67519,C1=NNN=N1
67520,C1=CN=NC=N1
67596,C1=C(C(=CC(=C1Br)F)Br)F
67597,C1=C(C(=CC(=C1F)Br)F)F
67654,C1=C(C=C(C(=C1Br)O)Br)F
67674,C1=CC(=C(C=C1F)F)Br
67675,C1=CC(=C(C=C1Br)F)F
67764,C1=CC(=C(C(=C1)F)O)O
67773,C1=CC(=C(C=C1F)F)F
67794,C1=CC(=CN=C1)F
67861,C1=CC2=C(C=CN2)C=C1F
67862,C1=CC(=C(C=C1F)Br)F
67999,C1=CC=C(C=C1)C(=O)F
68009,C1=CC(=CC(=C1)F)C=O
68099,C1=C(C=C(C(=C1O)C=O)O)O
68130,C1=COC(=O)C(=C1)O
68153,C1=CC(=O)NN=C1
68154,C1=CC(=O)OC=C1
68296,C1=CSSC1=S
68401,C1=CNC(=O)N=C1
68515,C1=CC(=CC=C1C(=O)Cl)Br
69103,C1=C(C(=C(C(=C1Cl)O)Cl)Cl)O
69353,C1=CC(=NC=C1Br)Br
69453,C1=C(C(=O)C(=C(C1=O)Cl)Cl)Cl
69482,C1=CC(=S)C=CC1=O
69605,C1=C(C=NC=N1)F
69670,C1=CC(=C(C=C1Cl)Br)O
69671,C1=CC(=O)C(=CC1=O)Cl
69677,C1=C(N=C(N=C1F)F)F
69679,C1(=C(N=C(N=C1F)F)F)Cl
69681,C1=CC2=C(C=C1Cl)C=NN2
69688,C1=CC2=C(C(=O)OC2=O)N=C1
69690,C1(=C(C(=NC(=C1F)F)F)F)F
70111,C1=C(C(=C(N=N1)Cl)Cl)Cl
70254,C1=CSC(=S)S1
70728,C1(=C(C(=O)OC1=O)Cl)Cl
70741,C1=CC(=CC=C1C=O)Br
70753,C1=CC=C2C(=C1)N=C(S2)F
70943,C1=C(N=CN=C1Cl)Cl
70947,C1=CC(=C(C=C1Cl)Cl)Br
70949,C1=CC(=C(C=C1O)C=O)O
70951,C1=C(NC(=O)NC1=O)C=O
71073,C1=CC=C2C(=C1)C=NO2
72670,C=C1C(=O)NC(=C)C(=O)N1
72758,C1=CN=CC(=O)N1
72783,C1=CC(=NBr)C=CC1=NBr
72863,C1=CC(=C(C=C1Br)C=O)O
72916,C1(=O)NC(=O)NN1
72926,C1=CN=CC2=C1C(=O)NC2=O
73272,C1=C(NC(=O)NC1=O)Cl
73277,C1=CN=C(C=N1)Cl
73278,C1=CNC(=O)OC1=O
73794,C1=C(C(=C(C(=C1F)F)Br)F)F
73934,C1=CC(=NC(=C1)F)F
74028,C1=CC(=C(C=C1F)Cl)Cl
74054,C1=CC=C2C(=C1)C=NC(=N2)Cl
74376,C1=CC(=CC(=C1)F)C(=O)Cl
74377,C1=CC(=CC(=C1)Br)C(=O)Cl
74404,C1=CN=C(N=C1)Cl
74814,C1=CC(=C(C=C1F)Cl)O
75112,C1=CC=C2C(=C1)OC(=O)O2
75323,C1=NC(=O)NC2=C1NC=N2
75398,C1=C(C=C(C(=C1F)Br)F)F
75402,C1=CC(=C(C=C1F)Br)Br
76133,C1=C(SC(=C1)Br)Cl
76428,C1=C(NC=N1)C=O
76429,C1=CSC(=N1)Cl
76430,C1=CSC(=N1)Br
76593,C1=C(C(=C(S1)Br)Br)Br
77175,C1=CC2=C(C=C1Cl)OC(=N2)Cl
77176,C1=CC2=C(C=C1Cl)SC(=N2)Cl
77378,C1=C(N=C(N=C1Cl)Cl)Cl
77531,C1=CN=C(N=C1Cl)Cl
77565,C1(=C(SC(=C1Br)Br)Br)Br
77889,C1=CC(=O)NC=C1Cl
77987,C1=CC=C2C=CC2=C1
78482,C1=CN=C2C(=N1)C(=O)OC2=O
78572,C1=CC=C2C(=C1)NC(=N2)Cl
78820,C1=CC(=NC(=C1)Br)Cl
78864,C1=CC=C2C(=C1)C(=NC=N2)Cl
78928,C1=CSC(=C1)C(=O)Cl
78960,C1=CC2=NC=CN2C=C1
78968,C1=COC=CO1
79217,C1=CC=C2C(=C1)C(=C(S2)Cl)Cl
79496,C1=C(C(=O)NC=C1Cl)Cl
79804,C1(=NSN=C1Cl)Cl
80006,C1=COC(=C1)C2=CC=CO2
80027,C1=C(C(=O)OC1=O)Br
80879,C1=CC(=C(C(=C1)F)F)O
81078,C1=C(C(=C(N=C1Br)Br)O)Br
81136,C1=CC(=C(N=C1)Cl)O
81265,C1=NNC(=N1)Cl
81901,C1=CC(=C2C(=C1)SC=N2)O
81904,C1(=NC(=NN1)Br)Br
83251,C1=NC(=O)NC2=C1NC(=O)N2
83331,C1=C(C(=C(C(=C1Br)Cl)Cl)O)Cl
84208,C1=C(C(=C(N=C1Cl)Cl)Cl)Cl
84676,C1=C(C=C(C=C1Br)Br)Cl
84798,C1(=O)NC(=O)N(C(=O)N1)Br
87010,C1=CNC(=CC1=O)Cl
87017,C1=CSC=C1Cl
87792,C1=C(SC=C1Br)C=O
88256,C1=C(C(=O)NC=N1)Br
88279,C1=CN=C(C=N1)C(=O)Cl
89164,C1=COC=C1Br
90014,C1=COC2=C(C=C(C=C21)Cl)Cl
90581,C1=NC(=S)N=C1
93100,C1=C(C(=C(C(=C1Cl)O)Cl)O)Cl
94392,C1=CC(=C(C(=C1)F)O)F
94494,C1=CC2=C(C(=C1)Cl)NC(=O)S2
94786,C1=CC=C2C(=C1)C=C(S2)Br
94950,C1=C(C=C(C(=C1Cl)O)Cl)F
94952,C1=CC(=C(C=C1F)O)F
94977,C1=CC=C2C(=C1)C(=C(S2)Br)Br
95123,C1=C(C(=NN=C1Cl)Cl)Cl
95894,C1=CC2=C(NN=C2C=C1)Cl
96125,C1=C(NC=N1)Br
96917,C1=CSNC1=O
97303,C1=CC=C2C(=C1)C(=O)C(=O)S2
97428,C1=NN=CO1
97629,C1=C(C(=O)NC=C1Cl)O
98635,C1(=NC(=NN1)Cl)Cl
99297,C1=C(NC=N1)F
99541,C1=C(C(=O)C(=CC1=NBr)Br)Br
101280,C1=C(NC(=O)NC1=O)Br
101463,C1=CN=C(N1)C2=NC=CN2
101494,C1=C(C=NC(=O)N1)Br
101497,C1=C(C(=O)NC=N1)F
101498,C1=C(C=NC(=O)N1)F
104644,C1=CC2=C(C(=C1)Cl)NC=C2
111605,C1=NC(=C(C(=N1)Cl)Br)Cl
113628,C1=CC2=C(C(=C1)Br)OC=C2
117462,C1=CC2=C(C=NS2)C(=C1)Cl
119391,C1=NN=CS1
123046,C1=CC=PC=C1
123047,C1=CN=NN=C1
123051,C1=CC(=C(C=C1F)F)O
123094,C1=CC=C2C(=C1)SC(=S)S2
123112,C1=CC(=C(C=C1Cl)Cl)F
123153,C1=C(C(=CC(=C1F)F)F)O
123176,C1(=C(C(=O)C1=O)Cl)Cl
123250,C1=CC=C2C(=C1)C(=CS2)Br
124504,C=C1C(=O)C=CO1
136032,C1=CC2=CC=C3N2C(=C1)C=C3
136049,C1=CSC2=C1C3=C(S2)SC=C3
136062,C1=CSC2=C1C=CS2
136063,C1=CSC2=C1SC=C2
136066,C1=CN=CC2=C1C=CN=C2
136067,C1=CN=CC2=C1C=NC=C2
136070,C1=CC2=C(C=CC=N2)N=C1
136071,C1=CC=C2C(=C1)OC=CO2
136084,C1=CN=CC2=NNN=C21
136085,C1=CC2=NNN=C2N=C1
136089,C1=CC2=NN=NN2C=C1
136173,C1=CC(=C(C=C1Cl)F)Cl
136241,C1=CN2C(=NC=N2)C=N1
136242,C1=C(C(=CC(=C1Cl)F)Cl)F
136243,C1=CSC(=C1)F
136284,C1=CC(=C(C(=C1)F)C=O)F
136313,C1=C(C=C(C=C1F)Br)F
136323,C=C1C=CC=C1
136328,C=C1C=CC(=O)C=C1
136436,C1(=O)NNC(=O)NN1
136476,C1(=C(C(=O)OC1=O)F)F
136504,C1=CN=CC=C1F
136519,C1=CC(=C(C=C1Cl)F)F
136599,C1=CC2=NC=CN2N=C1
136605,C1(=C(N=C(N=C1F)F)F)F
136793,C1=CSC=CC1=O
136883,C1=COC=CC1=S
136994,B12C=CC=CN1C=CC=C2
137000,C1=C(C=C(C=C1F)Cl)F
137001,C1=CC(=C(C=C1F)F)Cl
137004,C1=CC(=C(C=C1Br)F)Br
137183,C1(=C(C(=NC(=C1Cl)F)F)F)F
137275,C1=CC(=C(C=C1Cl)F)Br
137318,C1=CN2C(=CN=CC2=N1)Br
137520,C1=CC(=C(C(=C1)Cl)F)Cl
137541,C1=CSC(=O)S1
137561,C1=CC(=C(C=C1F)Cl)F
137563,C1=C(C(=C(C(=C1F)Cl)F)Cl)F
137653,C1=CC=C(C(=C1)NC=O)Cl
137682,C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)F
137716,C1=CN=C(N=C1F)F
137717,C1=C(N=CN=C1F)F
137779,C1=CC1=O
137828,C1=C(C=C(C(=C1F)Cl)Cl)Cl
137856,C1=COC(=C1)Cl
137864,C=C1C(=C)C1=C
138208,C1=CC(=N)C=CC1=N
138442,C1=C(SN=C1)C=O
138446,C=C1C=CC1=C
138918,C1=CSS1
139000,C1=NNC(=N1)Br
139066,C1=CC=C2C(=C1)OC(=O)S2
139384,C1=C2C3=CSC=C3SC2=CS1
139405,C1=CC(=O)C=C1
140018,C1=NC(=C(N1)Cl)Cl
140019,C1=C(NC=N1)Cl
140204,C1=C(SC=C1Cl)Cl
