System,IC
10351759_CrO2_0,-534.858072
115013957_CrO2_0,-532.001746
118209842_CrO2_0,-519.382483
118209986_CrO2_0,-512.802680
118210184_CrO2_0,-524.668162
118210698_CrO2_0,-525.413135
12298999_CrO2_0,-536.152589
12351033_CrO2_0,-525.268518
12452794_CrO2_0,-534.010543
129738833_CrO2_0,-512.255553
129791267_CrO2_0,-519.092054
129795272_CrO2_0,-528.031117
129860303_CrO2_0,-517.908555
129874159_CrO2_0,-534.837960
129949425_CrO2_0,-530.980796
130317924_CrO2_0,-532.204653
130317925_CrO2_0,-532.080457
130317932_CrO2_0,-532.187300
130317943_CrO2_0,-529.582936
130317944_CrO2_0,-529.559593
130758342_CrO2_0,-532.509530
132273882_CrO2_0,-534.855373
135348128_CrO2_0,-511.930284
135348271_CrO2_0,-511.992263
135348335_CrO2_0,-519.243031
135348391_CrO2_0,-512.087566
135400178_CrO2_0,-537.237710
135460303_CrO2_0,-536.386349
135487923_CrO2_0,-536.878869
135514766_CrO2_0,-530.077895
135966101_CrO2_0,-525.451205
135966102_CrO2_0,-525.530242
136183603_CrO2_0,-536.153639
136228962_CrO2_0,-525.053946
136231694_CrO2_0,-524.997162
136952690_CrO2_0,-525.012356
137184489_CrO2_0,-535.125289
137194105_TiO2_0,-574.456937
137287848_CrO2_0,-524.945127
13755997_CrO2_0,-525.030881
13755998_CrO2_0,-524.837505
13836650_CrO2_0,-536.600692
140328361_CrO2_0,-510.702281
140485142_CrO2_0,-524.397646
141361488_CrO2_0,-532.694755
143170_CrO2_0,-532.732380
144798510_CrO2_0,-514.605590
145706254_CrO2_0,-533.473072
146049415_CrO2_0,-531.075533
146870745_CrO2_0,-515.787794
150347771_CrO2_0,-529.495443
150386998_CrO2_0,-532.401377
153731278_CrO2_0,-533.770687
155055298_CrO2_0,-535.217789
15665824_CrO2_0,-518.468129
18625232_CrO2_0,-524.832464
18630807_CrO2_0,-534.387469
18758265_CrO2_0,-534.182876
18758278_CrO2_0,-534.018440
18987989_CrO2_0,-534.889452
19597579_CrO2_0,-533.239553
20197826_TiO2_0,-530.993168
20404645_CrO2_0,-534.523589
21122430_CrO2_0,-532.710127
21141284_CrO2_0,-532.510391
21224041_CrO2_0,-525.691181
21522661_CrO2_0,-520.174679
21854900_CrO2_0,-517.789778
21854902_CrO2_0,-517.116124
22245693_CrO2_0,-519.458931
22736815_CrO2_0,-534.564963
22997470_CrO2_0,-534.722987
23303028_CrO2_0,-524.020229
3034185_CrO2_0,-506.697651
319582_CrO2_0,-533.178810
319592_CrO2_0,-531.887473
418344_CrO2_0,-519.429789
43667923_CrO2_0,-522.669865
45079785_CrO2_0,-534.041722
45080468_CrO2_0,-534.507367
45080490_CrO2_0,-534.351315
45088201_CrO2_0,-544.107415
45088201_TiO2_0,-559.863372
45121805_CrO2_0,-518.434428
45121833_CrO2_0,-518.715082
45121867_CrO2_0,-518.402697
45121871_CrO2_0,-519.566124
53669451_CrO2_0,-535.150069
53922661_CrO2_0,-534.301969
54039588_CrO2_0,-525.135868
54204203_CrO2_0,-533.308090
54328121_CrO2_0,-525.117324
56626134_CrO2_0,-515.362236
57077204_CrO2_0,-534.201248
57255175_CrO2_0,-524.172850
57482764_CrO2_0,-533.216861
57583012_CrO2_0,-533.513578
58064051_CrO2_0,-536.436227
58332115_CrO2_0,-532.880182
58332198_CrO2_0,-533.263715
586229_CrO2_0,-534.808567
59022017_CrO2_0,-526.101750
59210915_CrO2_0,-519.837380
59421456_CrO2_0,-519.799238
59421459_CrO2_0,-524.380094
59421468_CrO2_0,-524.913581
59421517_CrO2_0,-519.700152
598827_CrO2_0,-533.398454
609639_CrO2_0,-532.121529
609643_CrO2_0,-531.783139
66623739_CrO2_0,-525.053652
66624131_CrO2_0,-519.373685
66624179_CrO2_0,-518.802041
66624199_CrO2_0,-533.217313
66624358_CrO2_0,-518.285003
66624495_CrO2_0,-519.062347
66667912_CrO2_0,-525.036990
67108296_CrO2_0,-520.419702
67137608_CrO2_0,-512.030723
67137811_CrO2_0,-519.256924
67259815_CrO2_0,-517.790807
67699079_CrO2_0,-523.466742
67699080_CrO2_0,-523.522026
67828098_CrO2_0,-534.167221
69487822_CrO2_0,-524.945149
69620675_CrO2_0,-535.364823
69748996_CrO2_0,-533.730279
69871727_CrO2_0,-534.446808
70169304_CrO2_0,-535.197782
76662195_CrO2_0,-533.713175
82393739_CrO2_0,-532.913998
82393740_CrO2_0,-532.223621
82393741_CrO2_0,-533.133097
82393742_CrO2_0,-532.849267
82393743_CrO2_0,-532.239962
82653361_CrO2_0,-533.597341
83827273_CrO2_0,-533.124084
84654246_CrO2_0,-533.030971
84717430_CrO2_0,-533.434640
84723817_CrO2_0,-532.689710
85589091_CrO2_0,-530.370484
88220606_CrO2_0,-527.546558
89097138_CrO2_0,-534.788624
90124648_CrO2_0,-533.788456
90245799_CrO2_0,-533.867261
90280628_CrO2_0,-522.801887
90955800_CrO2_0,-535.394046
91591722_CrO2_0,-532.814157
96536576_CrO2_0,-532.139146
