System,IC
101125918_CrO2_0,-568.841254
101125918_CrS2_0,-491.164841
101125918_CrSe2_0,-460.553234
101125918_MoO2_0,-602.090914
101125918_MoSe2_0,-498.779713
101125918_WO2_0,-642.216438
12280270_CrO2_0,-569.013252
12280270_MoO2_0,-602.751289
12280270_WO2_0,-642.916279
129736573_CrO2_0,-546.441691
129736573_CrSe2_0,-438.540090
129736573_HfS2_0,-510.201366
129736573_MoSe2_0,-476.756381
129736573_TiS2_0,-461.740104
129736573_WS2_0,-540.565558
129736573_WSe2_0,-505.521244
129736573_ZrS2_0,-487.259563
129856444_TiS2_0,-443.922936
136994_CrO2_0,-567.648436
136994_CrSe2_0,-460.215640
136994_MoO2_0,-601.759323
136994_WO2_0,-642.154486
154926700_CrS2_0,-459.265375
154926700_CrSe2_0,-428.804176
154926700_CrTe2_0,-399.059503
154926700_HfS2_0,-503.267621
154926700_HfSe2_0,-471.204264
154926700_HfTe2_0,-424.624058
154926700_MoS2_0,-497.613259
154926700_MoSe2_0,-466.965862
154926700_MoTe2_0,-437.025092
154926700_TiS2_0,-453.708945
154926700_TiSe2_0,-423.946286
154926700_TiTe2_0,-387.357513
154926700_WS2_0,-530.706571
154926700_WSe2_0,-495.770631
154926700_WTe2_0,-461.143406
154926700_ZrS2_0,-480.720624
154926700_ZrSe2_0,-449.710866
154926700_ZrTe2_0,-407.659706
17855626_HfS2_0,-499.976411
17855626_MoO2_0,-568.464911
17855626_MoS2_0,-496.189563
17855626_TiS2_0,-450.728633
17855626_TiSe2_0,-421.061163
17855626_WS2_0,-528.873223
17855626_ZrS2_0,-476.097802
19804509_CrO2_0,-569.720534
19804509_CrSe2_0,-460.992434
19804509_MoO2_0,-603.302721
19804509_WO2_0,-643.150300
21867779_CrO2_0,-570.370615
21867779_CrS2_0,-491.501982
21867779_CrSe2_0,-460.658841
21867779_CrTe2_0,-429.625280
21867779_MoO2_0,-603.367069
21867779_MoS2_0,-529.542326
21867779_MoSe2_0,-498.732231
21867779_WO2_0,-643.020042
22898301_CrO2_0,-569.460938
22898301_CrSe2_0,-461.197246
22898301_MoO2_0,-603.121458
22898301_WO2_0,-643.186544
22959164_CrO2_0,-550.443215
22959164_MoO2_0,-583.938814
23003193_CrO2_0,-569.576658
23003193_CrS2_0,-490.744315
23003193_CrSe2_0,-459.887468
23003193_CrTe2_0,-428.861283
23003193_MoO2_0,-602.632311
23003193_MoS2_0,-528.766311
23003193_MoSe2_0,-497.953724
23003193_MoTe2_0,-466.941988
23003193_TiS2_0,-483.293171
23003193_WO2_0,-642.265786
23003193_WS2_0,-561.787805
23003193_WSe2_0,-526.689185
23003193_WTe2_0,-490.815070
45080044_TiS2_0,-466.780551
45087511_HfS2_0,-509.050683
45087511_TiS2_0,-458.994487
45087511_TiTe2_0,-394.368832
45087511_WSe2_0,-504.204754
45087511_ZrS2_0,-485.040661
45087531_CrO2_0,-568.986326
45087531_CrS2_0,-490.468444
45087531_CrSe2_0,-459.673531
45087531_CrTe2_0,-428.672763
45087531_HfSe2_0,-499.883725
45087531_MoO2_0,-602.170111
45087531_MoS2_0,-528.578605
45087531_MoSe2_0,-497.807083
45087531_MoTe2_0,-466.807703
45087531_TiS2_0,-482.822045
45087531_TiSe2_0,-453.373767
45087531_WO2_0,-641.920709
45087531_WS2_0,-561.617102
45087531_WSe2_0,-526.558977
45087531_WTe2_0,-490.725462
5367417_CrO2_0,-532.687212
5463058_CrO2_0,-549.646982
5463058_MoO2_0,-583.461482
5463058_WO2_0,-623.766452
77987_HfS2_0,-506.051096
77987_HfSe2_0,-473.502132
77987_MoS2_0,-503.230856
77987_MoSe2_0,-472.515682
77987_TiS2_0,-455.933215
77987_TiSe2_0,-426.869945
77987_WS2_0,-536.321901
77987_WSe2_0,-501.284937
77987_ZrS2_0,-482.039178
77987_ZrSe2_0,-451.761311
85774999_TiS2_0,-459.903596
86249522_CrS2_0,-460.715603
86249522_CrTe2_0,-399.190496
86249522_HfS2_0,-504.295269
86249522_HfSe2_0,-471.365677
86249522_HfTe2_0,-424.462411
86249522_MoS2_0,-499.051020
86249522_MoSe2_0,-468.351846
86249522_MoTe2_0,-437.366672
86249522_TiS2_0,-454.781001
86249522_TiSe2_0,-425.120889
86249522_TiTe2_0,-388.376294
86249522_WS2_0,-532.154028
86249522_WSe2_0,-497.125369
86249522_WTe2_0,-461.277618
86249522_ZrS2_0,-480.443738
86249522_ZrSe2_0,-449.738443
86249522_ZrTe2_0,-407.605284
87361649_CrS2_0,-467.371415
87361649_CrSe2_0,-436.730340
87361649_CrTe2_0,-405.894282
87361649_HfS2_0,-507.698143
87361649_HfSe2_0,-475.100404
87361649_HfTe2_0,-431.011865
87361649_MoS2_0,-505.654998
87361649_MoSe2_0,-474.922706
87361649_MoTe2_0,-444.007770
87361649_TiS2_0,-459.710886
87361649_TiSe2_0,-430.373627
87361649_TiTe2_0,-394.890096
87361649_WS2_0,-538.784148
87361649_WSe2_0,-503.732055
87361649_WTe2_0,-467.977056
87361649_ZrS2_0,-485.665454
87361649_ZrSe2_0,-455.190627
87361649_ZrTe2_0,-414.115453
88942740_TiS2_0,-452.883190
