Gas,Energy
gas_101346876,-90.991047
gas_11018843,-101.219668
gas_11040679,-101.335132
gas_118184896,-87.632935
gas_118565854,-110.394077
gas_118565870,-111.837115
gas_121403757,-111.880240
gas_12365414,-101.251693
gas_124004487,-38.473576
gas_12554261,-111.834215
gas_129722745,-115.329108
gas_129740187,-100.752227
gas_129760305,-69.034533
gas_129856444,-75.858749
gas_132107352,-113.412247
gas_134613080,-111.211196
gas_13549431,-107.372242
gas_136058945,-113.217831
gas_136606837,-121.962760
gas_137095176,-100.394110
gas_138208,-91.475755
gas_139613335,-97.574210
gas_139658327,-108.821146
gas_139746417,-99.691797
gas_140982578,-55.451271
gas_141116177,-112.760113
gas_14150589,-39.323253
gas_143422111,-99.141919
gas_145425612,-111.297458
gas_146342337,-88.625074
gas_150043556,-105.843497
gas_150228848,-98.176510
gas_150937838,-39.229079
gas_151089070,-56.651954
gas_151127572,-103.354618
gas_153146784,-105.844103
gas_153951032,-89.966378
gas_154487753,-110.619315
gas_154926700,-85.869626
gas_155490907,-63.470279
gas_19759093,-100.784133
gas_19831799,-110.646958
gas_19831921,-113.117769
gas_19971623,-107.035545
gas_20059263,-110.618231
gas_20068707,-104.673286
gas_20544053,-107.399379
gas_21458438,-82.727957
gas_21821560,-107.685073
gas_21888116,-108.716639
gas_22281830,-101.077914
gas_22675257,-113.844368
gas_22959174,-82.172752
gas_23225159,-109.339844
gas_23425028,-108.577039
gas_23500541,-96.445698
gas_3781604,-99.451336
gas_45080136,-107.586176
gas_45080372,-106.966602
gas_45087130,-96.228626
gas_54276512,-56.026247
gas_54357333,-113.181651
gas_55299567,-122.338674
gas_576317,-100.640051
gas_59114613,-111.961558
gas_66171,-82.838597
gas_66657420,-72.159897
gas_67818024,-110.280067
gas_69099985,-94.303045
gas_69505622,-72.860486
gas_69895330,-113.344822
gas_70524480,-73.855645
gas_70544929,-107.573456
gas_71438758,-98.587073
gas_72502997,-82.233733
gas_77835027,-113.835243
gas_78960,-101.589687
gas_85843034,-34.728493
gas_85843071,-36.087400
gas_86249522,-87.459408
gas_86744112,-62.273395
gas_87361649,-92.846495
gas_87699237,-97.476702
gas_87729035,-96.376734
gas_88202317,-70.545868
gas_88377339,-87.340035
gas_88942740,-84.457705
gas_89598856,-111.890005
gas_90870232,-107.534101
gas_90947060,-87.746837
gas_91340339,-101.711281
