Gas,Energy
gas_101758957,-70.692939
gas_102264300,-39.274270
gas_102306651,-24.068601
gas_102587262,-71.837701
gas_11126406,-116.104165
gas_11367791,-107.366936
gas_12210988,-119.231528
gas_123898489,-53.479620
gas_124004487,-38.474122
gas_129760305,-69.034329
gas_129785799,-111.386331
gas_129856444,-75.858781
gas_13016669,-71.354324
gas_136032,-124.063916
gas_136049,-98.293948
gas_137701216,-76.842845
gas_139096342,-66.332312
gas_139384,-98.321760
gas_140982578,-55.282969
gas_141338957,-97.906889
gas_141383,-119.124546
gas_141439564,-111.360933
gas_14150589,-39.323255
gas_142400,-71.601542
gas_145799005,-70.971287
gas_148942798,-99.670496
gas_150937838,-39.227923
gas_151089070,-56.651691
gas_152936781,-104.049484
gas_153050258,-104.196152
gas_154088397,-103.532391
gas_155490907,-63.470979
gas_15810462,-108.266157
gas_15892787,-75.715538
gas_18185459,-31.336393
gas_20493452,-115.652928
gas_20528404,-115.612610
gas_21320951,-49.711024
gas_21867779,-117.293551
gas_22045783,-57.938381
gas_22475533,-113.568283
gas_224933,-114.002081
gas_2762756,-113.483646
gas_313681,-113.329281
gas_45080027,-112.445349
gas_54276512,-56.025896
gas_56972384,-87.112118
gas_59995650,-15.129750
gas_640967,-115.869607
gas_640969,-113.387600
gas_66657420,-73.106118
gas_69099985,-94.302976
gas_69505622,-72.860226
gas_70524480,-73.855859
gas_736487,-113.316312
gas_82417738,-115.704024
gas_82417778,-121.395827
gas_85612290,-35.606943
gas_85774999,-95.617355
gas_85843034,-34.728410
gas_85843071,-36.087400
gas_85843073,-34.998490
gas_86744112,-62.272601
gas_88942740,-84.457382
gas_90354164,-102.406115
gas_90487517,-107.310342
gas_90487519,-106.941705
gas_90487612,-106.530429
gas_90487638,-108.593974
gas_91231438,-106.011755
gas_9990649,-107.348287
