CID SMILES_x Name System IC_ENERGY Mean Variance Error GasFormula SystemName
69895330 C1=CC2=C(NC=CN2)N=C1 CrO2 69895330_CrO2_0 -2.0342059999999833 -2.522083190224673 0.0587614157512229 -0.4878771902246899 C7H7N3 CrO2_C1=CC2=C(NC=CN2)N=C1
22716502 C1=CC=C2C(=C1)N=CNO2 CrO2 22716502_CrO2_0 -1.2601659999999697 -1.7409933590482838 0.0129197313473538 -0.4808273590483141 C7H6N2O CrO2_C1=CC=C2C(=C1)N=CNO2
59114613 C=C1NN2C=CC=CC2=N1 CrO2 59114613_CrO2_0 -1.7366390000000251 -2.037951338098989 0.0371048166678374 -0.30131233809896374 C7H7N3 CrO2_C=C1NN2C=CC=CC2=N1
85843071 B1=NC1=C CrO2 85843071_CrO2_0 -1.8989970000000085 -2.182075535234319 0.1233630694270299 -0.28307853523431037 C2H2BN CrO2_B1=NC1=C
134613080 C1=CC2=NC=CNN2C=C1 CrO2 134613080_CrO2_0 -2.5862999999999374 -2.850978178006495 0.0420861215067701 -0.26467817800655746 C7H7N3 CrO2_C1=CC2=NC=CNN2C=C1
13999802 C1=CC=C2C(=C1)NC=CO2 CrO2 13999802_CrO2_0 -1.5937570000000392 -1.81366044798186 0.0151505107173391 -0.21990344798182093 C8H7NO CrO2_C1=CC=C2C(=C1)NC=CO2
132107352 C=C1NC2=C(N1)C=NC=C2 CrO2 132107352_CrO2_0 -1.55684100000002 -1.7399868566394003 0.02335450072901 -0.18314585663938043 C7H7N3 CrO2_C=C1NC2=C(N1)C=NC=C2
21821560 C1=CC2=C(NNC=N2)N=C1 CrO2 21821560_CrO2_0 -1.9711679999999774 -2.1237794113586355 0.007408689596375 -0.15261141135865808 C6H6N4 CrO2_C1=CC2=C(NNC=N2)N=C1
56972613 C1=CC2=C(C=CON2)N=C1 CrO2 56972613_CrO2_0 -1.5809280000000285 -1.7307046249197044 0.0162086870539528 -0.14977662491967592 C7H6N2O CrO2_C1=CC2=C(C=CON2)N=C1
121403757 C1=CN2C=CNC=C2N=C1 MoO2 121403757_MoO2_0 -1.6052799999999365 -1.7335413895901484 0.0214869717698355 -0.12826138959021183 C7H7N3 MoO2_C1=CN2C=CNC=C2N=C1
19831921 C1=CN=CC2=C1NC=CN2 CrO2 19831921_CrO2_0 -2.429916999999932 -2.5408634798252985 0.0727795988067647 -0.11094647982536632 C7H7N3 CrO2_C1=CN=CC2=C1NC=CN2
21888116 C1=CNC2=NC=NC=C2N1 CrO2 21888116_CrO2_0 -2.2157000000000266 -2.2916580896213445 0.0234521273838681 -0.07595808962131789 C6H6N4 CrO2_C1=CNC2=NC=NC=C2N1
20544053 C1=CC2=C(N=C1)N=CNN2 CrO2 20544053_CrO2_0 -2.06598299999996 -2.1065476101948626 0.0144174777515985 -0.04056461019490243 C6H6N4 CrO2_C1=CC2=C(N=C1)N=CNN2
121403757 C1=CN2C=CNC=C2N=C1 CrO2 121403757_CrO2_0 -2.806088999999986 -2.833670424029744 0.0425692172476521 -0.02758142402975805 C7H7N3 CrO2_C1=CN2C=CNC=C2N=C1
89598856 C1=CC2=C(C=CNN2)N=C1 CrO2 89598856_CrO2_0 -2.521107999999913 -2.507404380333948 0.0393230713370737 0.013703619665964784 C7H7N3 CrO2_C1=CC2=C(C=CNN2)N=C1
13549431 C1=CN=CC2=C1N=CNN2 CrO2 13549431_CrO2_0 -2.192186999999933 -2.1596303199853275 0.0172514497222769 0.032556680014605544 C6H6N4 CrO2_C1=CN=CC2=C1N=CNN2
18753394 C1=CC=C2C(=C1)NC=CN2Cl CrO2 18753394_CrO2_0 -2.0802530000000274 -2.0314508633069344 0.0681168749289503 0.04880213669309308 C8H7ClN2 CrO2_C1=CC=C2C(=C1)NC=CN2Cl
45080372 C1=COC=C2C1=CN=CN2 CrO2 45080372_CrO2_0 -2.082232000000033 -2.021747035520214 0.0183640604418365 0.060484964479819325 C7H6N2O CrO2_C1=COC=C2C1=CN=CN2
148819941 C1=CN2C=CN=CC2=C=C1 CrO2 148819941_CrO2_0 -1.7773640000000341 -1.698408083693148 0.0211578008200624 0.07895591630688603 C8H6N2 CrO2_C1=CN2C=CN=CC2=C=C1
19804509 C1=CC=C2C(=C1)NC=CN2 CrO2 19804509_CrO2_0 -2.2786879999999883 -2.1935583561389507 0.0406591699428323 0.08512964386103761 C8H8N2 CrO2_C1=CC=C2C(=C1)NC=CN2
85843034 B1=CN=C1 CrO2 85843034_CrO2_0 -2.4211429999999723 -2.318006327404855 0.1204407697874588 0.1031366725951175 C2H2BN CrO2_B1=CN=C1
12554261 C1=CNNC2=C1C=CN=C2 CrO2 12554261_CrO2_0 -2.7721630000000346 -2.6187890365551763 0.0765171836289294 0.15337396344485832 C7H7N3 CrO2_C1=CNNC2=C1C=CN=C2
151127572 C1=CN2C=CSC2=CN=C1 CrO2 151127572_CrO2_0 -2.212381999999934 -2.038900298253587 0.0295944580960387 0.17348170174634703 C7H6N2S CrO2_C1=CN2C=CSC2=CN=C1
69099985 C1=CSN2C1=CNC=C2 MoO2 69099985_MoO2_0 -1.8955630000000383 -1.7103653129336358 0.0843821551467482 0.1851976870664025 C6H6N2S MoO2_C1=CSN2C1=CNC=C2
129760305 B12C=CC=CN1O2 CrO2 129760305_CrO2_0 -1.961674999999957 -1.758761183115894 0.1338132090537616 0.20291381688406296 C4H4BNO CrO2_B12C=CC=CN1O2
71438758 C1=CSC=C2N1C=NN=C2 CrO2 71438758_CrO2_0 -2.267187999999976 -2.059134649592644 0.0368861037031839 0.20805335040733208 C6H5N3S CrO2_C1=CSC=C2N1C=NN=C2
150228848 C1=CN2C=CSC=C2N=N1 CrO2 150228848_CrO2_0 -2.3391449999999736 -2.1150272592079977 0.0410509337030404 0.22411774079197588 C6H5N3S CrO2_C1=CN2C=CSC=C2N=N1
154487753 C1=CC=C2N(C=C1)C=CO2 CrO2 154487753_CrO2_0 -2.2300389999999766 -1.985059663496812 0.0437608502291362 0.2449793365031645 C8H7NO CrO2_C1=CC=C2N(C=C1)C=CO2
